               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.025223,           0.0061967,                   0,             0.87411,             0.83329,             0.86597,             0.43678,            0.032621,           0.0045158,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026159,           0.0063509,                   0,             0.89112,              0.8185,             0.87124,             0.46657,            0.031492,           0.0046132,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.02459,           0.0061886,                   0,             0.84456,                0.88,             0.86331,             0.40795,            0.034648,           0.0046903,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.027783,           0.0066942,                   0,             0.93888,                0.84,             0.87511,             0.44637,            0.033173,           0.0045532,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.02547,           0.0062487,                   0,             0.93367,                0.88,             0.86335,             0.47335,            0.032361,           0.0043849,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.025993,           0.0058289,                   0,             0.91227,                 0.8,             0.85629,             0.50161,            0.033582,           0.0046939,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025271,           0.0063845,                   0,             0.94108,                0.84,             0.88588,             0.49859,            0.032796,           0.0044533,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.024685,           0.0061951,                   0,             0.93307,             0.83658,             0.88488,             0.47714,            0.031538,           0.0042986,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02398,           0.0061875,                   0,             0.92165,                0.78,             0.85265,             0.48072,            0.030521,           0.0043237,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.02539,           0.0059966,                   0,             0.89973,                0.82,             0.84989,             0.45974,            0.032366,           0.0044269,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.02456,            0.006017,                   0,             0.92948,                0.84,             0.86685,             0.48865,            0.030903,           0.0044461,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.023887,           0.0059179,                   0,             0.95338,                0.84,             0.88052,             0.49707,            0.031613,           0.0043509,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.024613,           0.0058385,                   0,             0.94271,                0.84,             0.86262,             0.45446,            0.032911,           0.0044455,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.025109,           0.0060467,                   0,             0.89571,                0.84,             0.85672,              0.4836,            0.031282,           0.0044986,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.024173,           0.0057011,                   0,             0.88483,                0.82,              0.8224,             0.41729,            0.033492,           0.0044899,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.02501,           0.0059683,                   0,             0.92876,                0.84,             0.85829,             0.47158,             0.03173,           0.0042889,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.024099,           0.0056356,                   0,             0.94841,                0.84,             0.88633,              0.5027,            0.030892,           0.0042586,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.023515,           0.0059454,                   0,             0.92117,                0.82,              0.8411,              0.5026,            0.031479,           0.0042908,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.024611,           0.0061751,                   0,             0.93229,                0.84,              0.8818,             0.47402,            0.032912,           0.0043787,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.023736,            0.006027,                   0,             0.91054,             0.81437,             0.84921,             0.46195,             0.03162,           0.0043941,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.024498,           0.0059856,                   0,             0.85505,             0.82596,             0.84957,              0.4693,            0.032783,           0.0045692,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.022669,           0.0059313,                   0,               0.874,                0.84,             0.84295,             0.45559,            0.032417,           0.0043944,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.024306,           0.0059152,                   0,             0.91461,             0.85694,             0.88383,             0.47227,             0.03246,           0.0041417,                   0,            0.007558,            0.007558,            0.007558
