               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.026408,           0.0061605,                   0,             0.93405,                 0.9,             0.90235,             0.46546,            0.031978,           0.0043848,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026514,           0.0066006,                   0,             0.92867,                0.88,             0.86141,              0.4494,            0.032264,            0.004436,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.026426,           0.0062671,                   0,             0.91086,                0.88,             0.89252,             0.46144,            0.031757,           0.0044176,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.025117,           0.0063811,                   0,             0.93521,                0.88,             0.88064,             0.49038,            0.031594,           0.0042421,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.025382,           0.0060907,                   0,             0.93018,                0.86,             0.86705,             0.50279,            0.031314,           0.0041936,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.026421,           0.0064432,                   0,             0.94688,                 0.9,              0.9077,             0.51554,            0.031087,            0.004252,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.025761,           0.0066011,                   0,             0.91274,             0.83683,             0.86285,             0.48982,            0.031364,           0.0042326,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.025752,           0.0063448,                   0,               0.894,                0.86,             0.84739,             0.46441,            0.031764,           0.0042719,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02737,           0.0065344,                   0,             0.92617,                 0.9,              0.9167,             0.47625,             0.03353,           0.0044141,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.025237,           0.0062782,                   0,             0.91899,                0.84,             0.88192,             0.45144,            0.031825,           0.0043947,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.024928,           0.0064594,                   0,             0.89263,                 0.9,             0.88679,             0.46892,            0.031775,           0.0045895,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.024583,           0.0061746,                   0,              0.9676,                0.88,             0.91807,             0.50569,            0.031111,           0.0044389,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.024449,           0.0063618,                   0,             0.91531,                0.84,             0.85706,             0.50106,            0.030466,           0.0043806,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022902,           0.0062277,                   0,             0.94398,                0.84,             0.89486,             0.49204,            0.031101,           0.0043283,                   0,            0.007459,            0.007459,            0.007459
